"RANK","BRAND NAME","CATEGORY","MAIN MARKET","2010 RANK"
"506","Snow Brand","Milk Powder/Milk","Hong Kong, Japan","166"
"507","Kagome","Sauce/Condiment","Japan","528"
"508","Tissot","Watch","Regional","727"
"509","JCB","Credit Card","Japan","510"
"510","Kimlan","Sauce/Condiment","Hong Kong, Taiwan","538"
"511","Iriver","Personal portable music player","China, Korea","494"
"512","Bull-Dog","Sauce/Condiment","Japan","660"
"513","Longines","Watch","Regional","546"
"514","Amoy","Sauce/Condiment","China, Hong Kong","501"
"515","Krung Thai","Bank","Thailand","639"
"516","Fanta","Carbonated Soft Drink","Regional","448"
"517","Mixi","Social Networking Site","Japan","358"
"518","Zhonghua (Cigarette)","Cigarette","China","481"
"519","Meiji (Milk Powder)","Milk Powder","Hong Kong, Japan","New entry"
"520","Volvic","Mineral Water","Regional","636"
"521","China Life","Insurance","China","520"
"522","ING","Insurance","Hong Kong, Singapore","502"
"523","TRUE","Mobile Service Provider","Thailand","719"
"524","Videocon","Consumer Electronics","India","386"
"525","Gusto","Restaurant Chain","Japan","561"
"526","Xu Fu Ji","Sweets and Candy","China","506"
"527","Tide","Detergent","Regional","583"
"528","Manulife","Insurance","China, Singapore","626"
"529","CSL","Mobile Service Provider","Hong Kong","457"
"530","IndoMie","Instant Noodles","Regional","903"
"531","Safeguard","Shower Gel/Soap","China","629"
"532","Holden","Car/Automobile","Australia","715"
"533","Aquafina","Mineral Water","China, Hong Kong, India","661"
"534","Panadol","Over-the-counter Pharmaceuticals","Regional","361"
"535","Chilsung Cider","Mineral Water","Korea","578"
"536","Shilla","Hotel","Korea","544"
"537","Regal","Men’s Shoes","Japan","439"
"538","Mazda","Car/Automobile","Regional","590"
"539","Allen’s","Sweets and Candy","Australia","577"
"540","FETnet","Mobile Service Provider","Taiwan","469"
"541","S26","Milk Powder","China, Southeast Asia","630"
"542","Fruit Tree","Fruit Juice","Malaysia, Singapore","611"
"543","Paos","Detergent","Taiwan, Thailand","595"
"544","York","Air Conditioner","China, Malaysia","709"
"545","China Pacific Insurance","Insurance","China","835"
"546","Hermès","Luxury Fashion Retailer","Regional","433"
"547","Hai Tian","Sauce/Condiment","China","895"
"548","DHC","Female Skincare Product","China, Japan, Korea","371"
"549","Crystal Jade","Restaurant Chain","Hong Kong, Singapore","594"
"550","Volkswagen","Car/Automobile","Regional","612"
"551","Blue Dart","Courier Company","India","670"
"552","Nan Shan","Insurance","Taiwan","587"
"553","Drypers","Diaper","India","683"
"554","ASO","Men’s/Women’s Shoes","Taiwan","343"
"555","White Rabbit","Sweets and Candy","Regional","559"
"556","Sumitomo Misui (SMBC)","Bank","Japan","New entry"
"557","Marriott","Hotel","Regional","453"
"558","SpiceJet Airlines","Budget Airlines","India, Malaysia","507"
"559","Pentax","Camera","Regional","863"
"560","Lexus","Car/Automobile","Regional","833"
"561","Pon Pon","Shower Gel/Soap","Taiwan","781"
"562","Public Bank","Bank","Malaysia","837"
"563","ICICI Prudential","Insurance","India","New entry"
"564","Yves Saint Laurent (YSL)","Fragrance/Luxury Fashion Retailer","Regional","500"
"565","Masterfood","Sauce/Condiment","Australia","847"
"566","PosLaju","Courier Company","Malaysia","646"
"567","Habib Jewels","Jewellery","Malaysia","513"
"568","PCCW","Mobile Service Provider","Hong Kong","663"
"569","Yum Yum","Instant Noodles","Thailand","710"
"570","7-Up","Carbonated Soft Drink","Australia, China","548"
"571","Spencer","Convenience Store/Supermarket","India","748"
"572","China-SSS","Budget Airlines","China","New entry"
"573","Poh Kong","Jewellery","Malaysia","536"
"574","Dragonair","Full-service Airlines","Hong Kong, China","547"
"575","Little Swan","White Goods","China","917"
"576","Dairy Farmers","Milk","Australia","540"
"577","Maidong","Sports Drink","China","724"
"578","Thai Post","Courier Company","Thailand","635"
"579","Cerelac","Baby Food (excluding milk powder)","Australia, India","308"
"580","Top","Detergent","Japan, Malaysia, Singapore","441"
"581","H-TWO-O","Sports Drink","Singapore","718"
"582","Patek Philippe","Watch","Regional","New entry"
"583","Rolls Royce","Car/Automobile","Regional","991"
"584","NAB","Bank","Australia","828"
"585","Thai Life Insurance","Insurance","Thailand","New entry"
"586","Clear","Shampoo","China, India, Southeast Asia","831"
"587","Chiclet","Chewing/Bubble Gum","Southeast Asia","484"
"588","Kaixin001","Social Networking Site","China","599"
"589","Perioe","Toothpaste","Korea","703"
"590","Enfa","Milk Powder","Thailand","557"
"591","Alfred Dunhill","Fragrance","Regional","505"
"592","TGI Friday’s","Restaurant Chain","Regional","915"
"593","Wahaha","Mineral Water","China","632"
"594","Ceat","Tyre","India","874"
"595","Tanishq","Jewellery","India","700"
"596","Hennessy","Spirits","Regional","551"
"597","Homeplus","Supermarket","Korea","793"
"598","Bright Dairy","Milk","China","407"
"599","China Telecom","Mobile Service Provider","China","843"
"600","Angelinus","Coffee Shop","Korea","New entry"
"601","Creative","Personal portable music player","Australia, India, Southeast Asia","444"
"602","Holiday Inn","Hotel","Regional","592"
"603","AAMI","Insurance","Australia","695"
"604","Post","Cereal","Regional","657"
"605","La New","Men’s Shoes","Taiwan","428"
"606","Lifebuoy","Shower Gel/Soap","Southeast Asia","753"
"607","Yeo Hiap Seng (YEO)","Tea","Malaysia, Singapore","491"
"608","Bangchak","Petrol/Gas Station","Thailand","876"
"609","Esquire","Men’s/Women’s Shoes","Korea","542"
"610","Moutai","Spirits","China, Hong Kong","662"
"611","IndiGo","Budget Airlines","Hong Kong, India, Korea","797"
"612","Bank of Ayudhya","Bank","Thailand","New entry"
"613","Volvo","Automobile/Car","Regional","962"
"614","Kit Kat","Chocolate","Regional","579"
"615","Bank of Taiwan","Bank","Taiwan","637"
"616","S-oil","Petrol/Gas Station","Korea","696"
"617","BPCL","Petrol/Gas Station","India","704"
"618","Cintan","Instant Noodles","Malaysia","702"
"619","Streets","Ice-cream","Australia","812"
"620","Aura","Mineral Water","Thailand","562"
"621","Ito-en","Ready-to-drink Tea","Japan","New entry"
"622","Blue Girl","Beer","Hong Kong","746"
"623","Kose","Cosmetics","Japan, Southeast Asia","565"
"624","Y.E.S Mineral Water","Mineral Water","Taiwan","524"
"625","Ritz-Carlton","Hotel","Hong Kong, Singapore, China","638"
"626","Haldiram","Savoury Snack Food","India","722"
"627","Milo","Sports Drink","Regional","499"
"628","General Electric (GE)","White Goods","Regional","731"
"629","Beat","Detergent","Regional","New entry"
"630","Tops","Supermarket","Thailand","651"
"631","Woori Bank","Bank","Korea","604"
"632","Big Babool","Chewing/Bubble Gum","India, Southeast Asia","795"
"633","Timberland","Men’s Shoes","Regional","769"
"634","Nespray","Milk Powder","China, Southeast Asia","653"
"635","Sulwhasoo","Female Skincare Product","Hong Kong, Korea","760"
"636","Wangsteak","Restaurant Chain","Taiwan","997"
"637","Koka","Instant Noodles","India, Malaysia, Singapore","691"
"638","Mamee","Instant Noodles","Malaysia, Singapore","488"
"639","Matsusei","Supermarket","Taiwan","701"
"640","Lacoste","Luxury Fashion Retailer/Fragrance","Regional","926"
"641","Idemitsu","Petrol/Gas Station","Japan","738"
"642","Woodland","Men’s Shoes","India","525"
"643","San Miguel","Beer","Regional","641"
"644","Elizabeth Arden","Fragrance","Regional","682"
"645","Clarins","Skincare Product","Regional","615"
"646","Black Canyon","Coffee Shop","Thailand","684"
"647","Sunstar","Toothpaste","Japan","582"
"648","EMS","Courier Company","China","490"
"649","Fair and Lovely","Female Skincare Product","India, Malaysia, Singapore","588"
"650","Ducati","Motorcycle","Regional","814"
"651","Dairy Queen","Ice-cream","China, Southeast Asia","948"
"652","E-Mart","Supermarket","Korea","707"
"653","UBC Coffee","Coffee Shop","China","602"
"654","Oksusu Tea","Ready-to-drink Tea","Korea","New entry"
"655","Mizuno","Sporting Apparel","Japan, Korea","830"
"656","Lucozade","Sports Drink","China, Hong Kong","783"
"657","Wuliangye","Spirits","China, Hong Kong","776"
"658","Golden Circle","Fruit Juice","Australia, Singapore","720"
"659","Levi’s","Men’s and Women’s Fashion Retailer","Regional","527"
"660","AXE (Detergent)","Detergent","Regional","New entry"
"661","Hacks","Sweets and Candy","Southeast Asia","475"
"662","Davidoff","Cigarette","Regional","735"
"663","Krong Thip","Cigarette","Thailand","616"
"664","XIAO-MEI","Ice-cream","Taiwan","825"
"665","Merries","Diaper","Japan","605"
"666","Cha Li Won","Ready-to-drink Tea","Taiwan","836"
"667","E.SUN","Bank","Taiwan","932"
"668","QQ","Social Networking Site","China, Hong Kong","476"
"669","Bonaqua","Mineral Water","Hong Kong","514"
"670","Clairol Herbal Essences","Shampoo","China, Southeast Asia","620"
"671","Domino’s","Fast-Food","Regional","736"
"672","Toblerone","Chocolate","Regional","888"
"673","Wills","Cigarette","Australia, India","645"
"674","Bosch","White Goods","Regional","819"
"675","Takaful","Insurance","Malaysia","706"
"676","SPC","Petrol/Gas Station","Singapore","861"
"677","Jack’n Jill","Savoury Snack Food","Hong Kong, Southeast Asia","765"
"678","Onida","Consumer Electronics","India","829"
"679","Salem","Cigarette","Regional","564"
"680","Dairy Milk","Chocolate","Regional","815"
"681","Timex","Watch","India, Southeast Asia, Japan","927"
"682","Intel","Computer","Regional","980"
"683","Aoyama","Men’s Fashion Retailer","Japan","593"
"684","Ba Wang","Shampoo","China","785"
"685","Dutchmilk","Milk","Thailand","264"
"686","Anna Sui","Fragrance","Regional","426"
"687","Mizuho","Bank","Japan","688"
"688","Max Factor","Cosmetics","Regional","698"
"689","NPC","Petrol/Gas Station","China, Taiwan","881"
"690","Continental","Tyre","Regional","850"
"691","Fila","Sporting Apparel","Korea","1387"
"692","Pura","Milk","Australia","945"
"693","Japan Post (JP)","Bank","Japan","804"
"694","Swarovski","Jewellery","Regional","624"
"695","Shen Tong","Courier Company","China","897"
"696","Axis Bank","Bank","India","New entry"
"697","Khao Shong","Coffee","Thailand","New entry"
"698","Absolut","Spirits","Regional","754"
"699","Big C","Supermarket","Thailand","598"
"700","Metro","Supermarket","India","697"
"701","Topman/Topshop","Men’s and Women’s Fashion Retailer","Malaysia, Singapore","925"
"702","Pears","Personal Care","Australia","New entry"
"703","Wantwant","Savoury Snack Food","Taiwan","567"
"704","Dongsuh","Tea/Cereal","Korea","755"
"705","Zhonghua","Toothpaste","China","New entry"
"706","Lexmark","Printer","Regional","569"
"707","Peel Fresh","Fruit Juice","Malaysia","740"
"708","Arrow","Men’s Fashion Retailer","Southeast Asia","920"
"709","Luk Fook","Jewellery","China, Hong Kong","757"
"710","Boomer","Chewing/Bubble Gum","India","627"
"711","Ballantine’s","Spirits","Regional","New entry"
"712","TCL","TV","China","New entry"
"713","British Airways","Full-service Airlines","Regional","619"
"714","Porsche","Automobile/Car","Regional","935"
"715","Muang Thai Insurance","Insurance","Thailand","789"
"716","Sapporo","Beer","Japan","656"
"717","Bonia","Women’s Shoes","Malaysia, Singapore","522"
"718","Life","Sauce/Condiment","Malaysia","New entry"
"719","Ice Mountain","Mineral Water","Singapore","654"
"720","Zanussi","White Goods","Hong Kong, Malaysia","730"
"721","Belle","Women’s Shoes","China","613"
"722","Fernleaf","Milk Powder","Malaysia","796"
"723","Wei Lih","Instant Noodles","Taiwan","852"
"724","DTDC","Courier Company","India","734"
"725","17 Tea","Ready-to-drink Tea","Korea","New entry"
"726","Grand Hyatt","Hotel","China, Southeast Asia","937"
"727","Miwon","Sauce/Condiment","Korea","990"
"728","Elastine","Shampoo","Korea","672"
"729","Chang Beer","Beer","Thailand","690"
"730","Leo","Beer","Thailand","853"
"731","Giordano","Men’s and Women’s Fashion Retailer","Regional","515"
"732","Kent","Cigarette","Regional","609"
"733","Kenwood","Home Audio","Regional","477"
"734","Mango (MNG)","Women’s Fashion Retailer","China, Southeast Asia","664"
"735","Yanjing","Beer","China","891"
"736","Dolce & Gabbana","Fragrance/Luxury Fashion Retailer","Regional","699"
"737","Royal Host","Restaurant Chain","Japan","900"
"738","Superbubble","Chewing/Bubble Gum","Taiwan","596"
"739","Liby","Detergent","China","898"
"740","Maruchan","Instant Noodles","Japan","686"
"741","AXE","Fragrance","Regional","644"
"742","Nestum","Baby Food (excluding milk powder)","India, Southeast Asia","517"
"743","Oriental","Hotel","Singapore, Thailand","790"
"744","Martell","Spirits","China, Southeast Asia","832"
"745","Elcanto","Shoes","Korea","879"
"746","Pxmart","Supermarket","Taiwan","919"
"747","Kinley","Mineral Water","India","649"
"748","Cow Soap","Shower Gel/Soap","Hong Kong, Japan","901"
"749","Protex","Shower Gel/Soap","Thailand","860"
"750","Ryoe","Shampoo","Korea","New entry"
"751","Taishin International Bank","Credit Card/Bank","Taiwan","742"
"752","Lee Hwa","Jewellery","Singapore","884"
"753","RT Mart","Supermarket","Taiwan","845"
"754","Bulla","Ice-cream","Australia","767"
"755","Renault Samsung Motors","Automobile/Car","Korea","869"
"756","Parle","Sweets and Candy","India","979"
"757","Morewater","Mineral Water","Taiwan","708"
"758","Minere","Mineral Water","Thailand","693"
"759","Inter-Continental","Hotel","Regional","New entry"
"760","Shanghaojia","Food","China","New entry"
"761","Chungjungwon","Sauce/Condiment","Korea","974"
"762","Boots","Pharmacy/Drugstore","India, Thailand","573"
"763","Versace","Luxury Fashion Retailer/Fragrance","Regional","608"
"764","Yuan Tong Express","Courier Company","China","906"
"765","Dusit","Hotel","Thailand","882"
"766","Camel","Cigarette","Regional","625"
"767","Taywin","Men’s Shoes","Thailand","799"
"768","Danggimeori","Shampoo","Korea","929"
"769","TVS","Motorcycle","India","New entry"
"770","Hubba Bubba","Chewing/Bubble Gum","Australia, India","786"
"771","Super Coffee Mix","Coffee","Malaysia, Singapore","870"
"772","77","Chocolate","Taiwan","674"
"773","I-MEI","Sweets and Candy","Taiwan","714"
"774","Rado","Watch","Regional","779"
"775","Bubble Yum","Chewing/Bubble Gum","Regional","New entry"
"776","Knorr","Food","Regional","New entry"
"777","Pirelli","Tyre","Australia, India, Southeast Asia","678"
"778","King’s Creameries","Ice-cream","Singapore","New entry"
"779","Asics","Sporting Apparel","Japan","New entry"
"780","Hyundai Logiem","Courier Company","Korea","New entry"
"781","Indian Airlines","Full-service Airlines","India, Southeast Asia","761"
"782","Guinness","Beer","Australia, China, Southeast Asia","877"
"783","Sanitarium","Cereal","Australia","784"
"784","Tung Lok","Restaurant","Singapore","New entry"
"785","Rin","Detergent","India","848"
"786","Priceline","Pharmacy/Drugstore","Australia","762"
"787","Unity Pharmacy","Pharmacy/Drugstore","Singapore","772"
"788","Café Bene","Coffee Shop","Korea","New entry"
"789","Norton","Computer Software","Regional","782"
"790","Victor","Home Audio","Regional","597"
"791","SE 555","Cigarette","Regional","711"
"792","Ochaen","Tea","Taiwan","958"
"793","Friendster","Social Networking Site","Regional","483"
"794","Sizzler","Restaurant Chain","Australia","774"
"795","Megumilk","Milk","Japan","756"
"796","Salz","Toothpaste","Thailand","New entry"
"797","Diners Club","Credit card","Regional","New entry"
"798","Wanjashan","Sauce/Condiment","China","944"
"799","ITC","Hotel","India","New entry"
"800","Pasteur","Milk","Korea","741"
"801","Fountain","Sauce/Condiment","Australia","New entry"
"802","RAC","Insurance","Southeast Asia","803"
"803","Linux","Computer Software","China, Southeast Asia","552"
"804","Friskies","Pet Food","Australia, Hong Kong","623"
"805","Cosmo Oil","Petrol/Gas Station","Japan","894"
"806","Cold Stone","Ice-cream","Regional","New entry"
"807","Fujiya","Food","Japan","New entry"
"808","Trident","Chewing/Bubble Gum","Regional","939"
"809","BC Card","Credit Card","Korea","603"
"810","Sumitomo Life","Insurance","Japan","849"
"811","Benson & Hedges","Cigarette","Australia, India","749"
"812","Smith’s","Snack Food","Australia","658"
"813","Oberoi","Hotel","Southeast Asia","995"
"814","Hi5","Social Networking Site","Hong Kong, India, Southeast Asia","432"
"815","KLIM","Milk","China","907"
"816","Target","Retailer","Australia","810"
"817","Gillette","Male Skincare Product","Regional","889"
"818","Amcal","Pharmacy/Drugstore","Australia","743"
"819","Konka","Consumer Electronics","China, Hong Kong","New entry"
"820","Soda","Women’s Shoes","Regional","New entry"
"821","IFB","Home & Kitchen Appliances","India","New entry"
"822","Poh Heng","Jewellery","Singapore","New entry"
"823","Barista (Taiwan)","Coffee/Coffee shop","Taiwan","New entry"
"824","General","Air Conditioner","China","530"
"825","Kimball","Sauce/Condiment","Malaysia","New entry"
"826","Mandarin Oriental","Hotel","Hong Kong, Southeast Asia","768"
"827","Mirinda","Carbonated Soft Drink","Regional","New entry"
"828","Aflac","Insurance Provider","Regional","New entry"
"829","Simpson","Washing Machine","Australia","679"
"830","Winfield","Cigarette","Australia","966"
"831","Pierre Cardin","Men’s Shoes/Men’s Fashion Retailer","China, Southeast Asia","473"
"832","Taj Mahal (Tea)","Tea","India","780"
"833","Trappist","Milk","Hong Kong","New entry"
"834","Gold Flake","Cigarette","India","823"
"835","Agricultural Bank of China","Bank","China","New entry"
"836","ito Yokado","Supermarket","Japan","983"
"837","Novotel","Hotel","Regional","681"
"838","China Mobile (HK)","Mobile Service Provider","Hong Kong","New entry"
"839","KoKo Krunch (Nestlé)","Cereal","Regional","New entry"
"840","NRMA","Insurance","Australia","820"
"841","Fantastic","Instant Noodles","Australia","New entry"
"842","Hainan Airlines","Airlines (Budget/Full service)","China","New entry"
"843","Healthy Boy","Sauce/Condiment","Thailand","857"
"844","Aavin","Milk","India","969"
"845","Coffee Club","Coffee Shop","Australia","808"
"846","Aoki","Men’s Fashion Retailer","Japan","801"
"847","Jimmy Choo","Fashion","Regional","New entry"
"848","Long Life","Cigarette","Taiwan","665"
"849","Natural Confectionery Co.","Sweets and Candy","Australia","New entry"
"850","S&P","Restaurant Chain","Thailand","910"
"851","Haywards","Beer","India","999"
"852","Voltas","Air Conditioner","India, Australia","988"
"853","Sheng Shiong","Supermarket","Singapore","New entry"
"854","Trigem","Computer","Korea","New entry"
"855","Blue Moon","Detergent","China","New entry"
"856","Aldi","Supermarket","Australia","566"
"857","Remy Martin","Spirits","Regional","687"
"858","Cathay United Bank","Bank","Taiwan","813"
"859","Arnott’s","Savoury Snack Food","Australia","New entry"
"860","Prouds","Jewellery","Australia","943"
"861","Uncle Toby","Cereal","Australia","560"
"862","Capico","Savoury Snack Food","Regional","New entry"
"863","Imperial Hotel","Hotel","Japan, Thailand","856"
"864","Allianz","Insurance Provider","India","New entry"
"865","Scholl","Shoes","Malaysia, Singapore","916"
"866","Pro Sweat","Sports Drink","Taiwan","New entry"
"867","Mitsuya Cider","Carbonated Soft Drink","Japan","New entry"
"868","Zhenkungfu","Restaurant","China","New entry"
"869","Raymonds","Men’s Fashion Retailer","India","976"
"870","Mr Muscle","Detergent","Regional","986"
"871","BenQ","Consumer Electronics","Taiwan","New entry"
"872","Denon","Home Audio","Regional","880"
"873","Mister Potato","Savoury Snack Food","Southeast Asia","994"
"874","Saravana Bhavan","Restaurant","India, Malaysia, Singapore","New entry"
"875","New Balance","Sporting Apparel","Regional","New entry"
"876","Ali Café","Coffee","Malaysia","New entry"
"877","Jin Air","Budget Airlines","Korea","840"
"878","Aekyung","Shower Gel/Soap","Korea","628"
"879","Esprit","Men’s and Women’s Fashion Retailer","China, Southeast Asia","634"
"880","Choice","Coffee","Thailand","New entry"
"881","Chemist Warehouse","Pharmacy/Drugstore","Australia","890"
"882","KTC","Credit Card","Thailand","938"
"883","Charles & Keith","Women’s Shoes","Malaysia, Singapore","677"
"884","Jukyum","Toothpaste","Korea","758"
"885","Crown","Food","Regional","New entry"
"886","Nine West","Women’s Shoes","Singapore, Hong Kong","New entry"
"887","Happy Bath","Shower Gel/Soap","Korea","New entry"
"888","Cornetto","Ice-cream","Regional","New entry"
"889","Sisley","Cosmetics/Skincare Product","Regional","New entry"
"890","Sanyuan","Milk","China, Taiwan","899"
"891","Grand Formosa Regent","Hotel","Taiwan","New entry"
"892","Hyosung","Motorcycle","Korea","New entry"
"893","Rivers","Men’s Fashion Retailer","Australia","865"
"894","Kolon","Sporting Apparel","Korea","New entry"
"895","Clorets","Chewing/Bubble Gum/Sweets and Candy","Southeast Asia","751"
"896","Twinings","Tea","Regional","447"
"897","OB","Beer","Korea","817"
"898","GUM","Toothpaste","Hong Kong, China, Japan","New entry"
"899","Nate","Social Networking Site/Internet Search Engine","Korea","652"
"900","Sina","Social Networking Site","China","402"
"901","Daiichi Life","Insurance","Japan","912"
"902","566","Shampoo","China","New entry"
"903","Aigo","Digital Products","China","New entry"
"904","UHA Mikakuto","Sweets and Candy","Japan","New entry"
"905","Ajinomoto","Sauce/Condiment","Japan, Korea, Southeast Asia","747"
"906","Tully’s","Coffee","Japan, Korea, Singapore","942"
"907","Chi Mei","TV","Taiwan","New entry"
"908","Tooheys","Beer","Australia","New entry"
"909","Daelim","Motorcycle","Korea","816"
"910","Imperial","Personal care","Regional","New entry"
"911","Hera","Female Skincare Product","Korea","924"
"912","Toll","Courier Company","Australia","New entry"
"913","GS","Supermarket","Korea","600"
"914","Himalaya","Mineral Water","India","New entry"
"915","Fancl","Female Skincare Product","Hong Kong, Singapore","824"
"916","Proton","Automobile/Car","Malaysia","New entry"
"917","Safi","Personal care","Regional","New entry"
"918","Wei-Wei","Instant Noodles","China","New entry"
"919","Jack Daniel","Spirits","Regional","655"
"920","Terry White","Pharmacy/Drugstore","Australia","750"
"921","Gerber","Baby Food (excluding milk powder)","Regional","445"
"922","Uniqlo","Men’s and Women’s Fashion Retailer","China, Hong Kong, Japan","621"
"923","Swipe","Detergent","Regional","New entry"
"924","Bingrae","Ice-cream","Korea","New entry"
"925","Mie Sedap","Instant Noodles","Southeast Asia","New entry"
"926","Victoria Bitter (VB)","Beer","Australia","878"
"927","Koikeya","Savoury snack food","Japan","New entry"
"928","Wakodo","Baby Food (excluding milk powder)","Japan, Korea","666"
"929","Michael Hill","Jewellery","Australia","New entry"
"930","Florsheim","Men’s Shoes","Regional","New entry"
"931","Mövenpick","Ice-cream","Regional","New entry"
"932","Da Da","Chewing/Bubble Gum","China, Hong Kong","858"
"933","Fresh Delight","Dairy Products","Regional","New entry"
"934","Dentiste","Toothpaste","Regional","New entry"
"935","Duroyal","Ice-cream","Taiwan","618"
"936","Center Fresh","Chewing/Bubble Gum","India","647"
"937","M-Sport","Sports Drink","Thailand","New entry"
"938","Dabur","Toothpaste","India","New entry"
"939","SPD Bank","Bank","China","New entry"
"940","City Super","Supermarket","Hong Kong","New entry"
"941","PAL","Pet Food","Australia, Hong Kong","864"
"942","Royce’/Royce","Chocolate","Hong Kong, Singapore","New entry"
"943","Morning Fresh","Detergent","Australia","905"
"944","Soo Kee (SKJ)","Jewellery","Singapore","960"
"945","Suncorp","Financial Service","Australia","New entry"
"946","Ottogi","Sauce/Condiment","Korea","904"
"947","Carlton","Beer","Australia","New entry"
"948","Fuji (Restaurant chain)","Restaurant Chain","Thailand","955"
"949","Revive isotonic","Sports Drink","Malaysia","766"
"950","Frooti","Fruit Juice","India","New entry"
"951","Heaven & Earth","Ready-to-drink Tea","Singapore","New entry"
"952","CBA","Bank","Australia","New entry"
"953","Fair And Handsome","Male Skincare Product","India","961"
"954","Saizeriya","Restaurant Chain","Japan","New entry"
"955","Guangdong Development","Bank","China","New entry"
"956","Ricoh","Digital Products","Regional","New entry"
"957","Miele","Consumer Electronics","Regional","New entry"
"958","Heart Beat","Sweets and Candy","Australia","998"
"959","Mei Ri C","Fruit Juice","Taiwan","922"
"960","Cesar","Pet Food","Japan, Korea, Southeast Asia","643"
"961","Royal","Pet Food","China, Taiwan","873"
"962","Asience","Shampoo","Regional","New entry"
"963","Otafuku","Food","Japan","New entry"
"964","Wu Yang","Ice-cream","China","New entry"
"965","Tommy Hilfiger","Fragrance/Men’s Fashion Retailer","Regional","721"
"966","Café Amazon","Coffee Shop","Thailand","New entry"
"967","Kerasys","Shampoo","Korea","New entry"
"968","Pigeon","Baby Product","Regional","New entry"
"969","Thums Up","Carbonated Soft Drink","India","792"
"970","Hogs Breath","Restaurant Chain","Australia","New entry"
"971","Kinmen Kao Liang","Spirits","Taiwan","867"
"972","Bank of Communications","Bank","China, Hong Kong","New entry"
"973","Ginvera","Shower Gel/Soap","Malaysia, Singapore","911"
"974","Shin Kong Life Insurance","Insurance","Taiwan","872"
"975","Nippon Express","Courier Company","Regional","New entry"
"976","Centara","Hotel","Thailand","New entry"
"977","IT","Men’s and Women’s Fashion Retailer","China, Hong Kong","729"
"978","Australia post","Courier Company","Australia","New entry"
"979","Gogo no Kocha","Ready-to-drink Tea","Japan","New entry"
"980","Mister Donut","Fast-Food","Japan","New entry"
"981","99 Speedmart","Convenience Store","Malaysia","New entry"
"982","Fosters","Beer","Australia","921"
"983","The Professional Couriers","Courier Company","India","New entry"
"984","XXXX","Beer","Australia","New entry"
"985","Hana","Bank","Korea","New entry"
"986","Park Avenue","Personal Care/Men’s Shoes","India","New entry"
"987","Sansui","DVD Player","China, India, Japan","902"
"988","Magnum","Ice-cream","Regional","New entry"
"989","Taster’s Choice","Coffee","Regional","New entry"
"990","Fossil","Jewellery/Watch","Singapore, Australia","New entry"
"991","Arun","Ice-cream","India","New entry"
"992","Aviva","Insurance","Regional","New entry"
"993","Double Happiness","Cigarette","China","New entry"
"994","Bacardi","Spirits","Regional","New entry"
"995","Leconte","Chocolate","China","928"
"996","Devondale","Dairy Products","Australia","New entry"
"997","More","Supermarket","India","New entry"
"998","Corona","Beer","Regional","New entry"
"999","Harvey Fresh","Fruit Juice","Australia","New entry"
"1000","Gatsby","Male Skincare Product","Regional","953"
